blue,country,fips,green,hex_code,hsv/0,hsv/1,hsv/2,hue,img,lat,lng,red,saturation,value
0.172549019608,Cuba,CU,0.219607843137,26382c,0.388888888889,0.321428571429,0.219607843137,0.388888888889,CU.png,21.6211706451,-79.0363523212,0.149019607843,0.321428571429,0.219607843137
0.41568627451,Cyprus,CY,0.450980392157,7b736a,0.0882352941176,0.138211382114,0.482352941176,0.0882352941176,CY.png,35.0458815895,33.2217623859,0.482352941176,0.138211382114,0.482352941176
0.337254901961,Czech Republic,EZ,0.462745098039,5e7656,0.291666666667,0.271186440678,0.462745098039,0.291666666667,EZ.png,49.7428590028,15.3384118221,0.36862745098,0.271186440678,0.462745098039
0.325490196078,Denmark,DA,0.380392156863,4f6153,0.37037037037,0.185567010309,0.380392156863,0.37037037037,DA.png,55.963397907,10.0462968075,0.309803921569,0.185567010309,0.380392156863
0.349019607843,Djibouti,DJ,0.435294117647,806f59,0.0940170940171,0.3046875,0.501960784314,0.0940170940171,DJ.png,11.7496765226,42.5777653626,0.501960784314,0.3046875,0.501960784314
0.192156862745,Dominica,DO,0.247058823529,333f31,0.309523809524,0.222222222222,0.247058823529,0.309523809524,DO.png,15.4355974675,-61.3557578133,0.2,0.222222222222,0.247058823529
0.137254901961,Dominican Republic,DR,0.207843137255,233523,0.333333333333,0.339622641509,0.207843137255,0.333333333333,DR.png,18.894447574,-70.4846349822,0.137254901961,0.339622641509,0.207843137255
0.16862745098,East Timor,TM,0.235294117647,2e3c2b,0.303921568627,0.283333333333,0.235294117647,0.303921568627,TM.png,-8.8229773563,125.8536726188,0.180392156863,0.283333333333,0.235294117647
0.16862745098,Ecuador,EC,0.286274509804,3c492b,0.238888888889,0.41095890411,0.286274509804,0.238888888889,EC.png,-1.427420109,-78.7670731277,0.235294117647,0.41095890411,0.286274509804
0.545098039216,Egypt,EG,0.717647058824,cbb78b,0.114583333333,0.315270935961,0.796078431373,0.114583333333,EG.png,26.4942544098,29.8719576705,0.796078431373,0.315270935961,0.796078431373
0.278431372549,El Salvador,ES,0.317647058824,3e5147,0.412280701754,0.234567901235,0.317647058824,0.412280701754,ES.png,13.7368968996,-88.8665114529,0.243137254902,0.234567901235,0.317647058824
0.141176470588,Equatorial Guinea,EK,0.247058823529,263f24,0.320987654321,0.428571428571,0.247058823529,0.320987654321,EK.png,1.7123378658,10.3419833616,0.149019607843,0.428571428571,0.247058823529
0.4,Eritrea,ER,0.509803921569,a78266,0.0717948717949,0.389221556886,0.654901960784,0.0717948717949,ER.png,15.3584948564,38.8514830646,0.654901960784,0.389221556886,0.654901960784
0.325490196078,Estonia,EN,0.439215686275,487053,0.379166666667,0.357142857143,0.439215686275,0.379166666667,EN.png,58.6741361414,25.5276159945,0.282352941176,0.357142857143,0.439215686275
0.439215686275,Ethiopia,ET,0.454901960784,767470,0.111111111111,0.0508474576271,0.462745098039,0.111111111111,ET.png,8.6262196022,39.6160319786,0.462745098039,0.0508474576271,0.462745098039
0.603921568627,Falkland Is.,FK,0.38431372549,4D629A,0.621212121212,0.5,0.603921568627,0.621212121212,FK.png,-51.7371165184,-59.36329821,0.301960784314,0.5,0.603921568627
0.803921568627,Faroe Is.,FO,0.81568627451,d0d0cd,0.166666666667,0.0144230769231,0.81568627451,0.166666666667,FO.png,62.0310655581,-6.8841095464,0.81568627451,0.0144230769231,0.81568627451
0.337254901961,Finland,FI,0.423529411765,5d6c56,0.280303030303,0.203703703704,0.423529411765,0.280303030303,FI.png,64.500422299,26.2663706977,0.364705882353,0.203703703704,0.423529411765
0.325490196078,France,FR,0.439215686275,607053,0.258620689655,0.258928571429,0.439215686275,0.258620689655,FR.png,46.564502139,2.5519552759,0.376470588235,0.258928571429,0.439215686275
0.701960784314,French Antarctic,FS,0.686274509804,aeafb3,0.633333333333,0.0279329608939,0.701960784314,0.633333333333,FS.png,-49.1917939992,68.8619203878,0.682352941176,0.0279329608939,0.701960784314
0.196078431373,French Guiana,FG,0.262745098039,284332,0.395061728395,0.402985074627,0.262745098039,0.395061728395,FG.png,3.9246880283,-53.2412237641,0.156862745098,0.402985074627,0.262745098039
0.149019607843,Gabon,GB,0.258823529412,274226,0.327380952381,0.424242424242,0.258823529412,0.327380952381,GB.png,-0.5909451794,11.7972366687,0.152941176471,0.424242424242,0.258823529412
0.533333333333,Gaza Strip,GZ,0.623529411765,aa9f88,0.112745098039,0.2,0.666666666667,0.112745098039,GZ.png,31.4018653858,34.3727499454,0.666666666667,0.2,0.666666666667
0.290196078431,Georgia,GG,0.349019607843,41594a,0.395833333333,0.269662921348,0.349019607843,0.395833333333,GG.png,42.1763109244,43.5174484679,0.254901960784,0.269662921348,0.349019607843
